categ_id,name,default_code,lst_price
MM,LIBRE DE PARABENOS HIPOALERGENICOS @Pre Base Mate Minimizadora ULTRA HD (Petaca cristal) x 10g.- NUEVO!,1013-00,928.0
MM,Maquillaje Humectante Satinado ILUMINADOR LÍQUIDO Pomo x 25g. @Oro Transfer- NUEVO!,1115-01,786.0
MM,Maquillaje Humectante Satinado ILUMINADOR LÍQUIDO Pomo x 25g. @Rosa Cuarzo- NUEVO!,1115-02,786.0
MM,"Labial Mate MATTE FULL COLOR Nuevo!! x 3,5g. @MANDARINA",1500M-E01,480.0
MM,"Labial Mate MATTE FULL COLOR Nuevo!! x 3,5g. @MAGENTA",1500M-E02,480.0
MM,"Labial Mate MATTE FULL COLOR Nuevo!! x 3,5g. @PÚRPURA",1500M-E03,480.0
MM,"Labial Mate MATTE FULL COLOR Nuevo!! x 3,5g. @VIOLETA",1500M-E04,480.0
MM,"Sombra Cremosa Estuche Duo x 3,5g.. c/u @Amarillo-Anaranjado NUEVO!",1122-01,480.0
MM,"Sombra Cremosa Estuche Duo x 3,5g.. c/u @Fucsia-Violeta NUEVO!",1122-02,480.0
MM,SET MAQUILLAJE COMPACTO DUO CORRECTIVO Art. 2019Z- Cartuchera sin divisiones  Art. 2010R-01  Maquillaje Compacto Polvo Mate -Efecto BLUR  -Amarillo Art. 1301R-02  Polvo Compacto Microfinish ULTRA HD -Anaranjado,5010,1134.0
MM,"MONOPRODUCTOS -""Siliconas"" HD @Diluyente para Sombras  -Apto HD  (Botella con dosificador) x 10cc.",2015P,295.0
MM,Tonalizador Correctivo Corrector Cremoso Duo - Petaca Dúo x 4g. @Beige Amarillento / Beige grisado,1000-01,345.0
MM,Tonalizador Correctivo Corrector Cremoso Duo - Petaca Dúo x 4g. @Salmón / Tostado,1000-02,345.0
MM,Tonalizador Correctivo Repuesto de 26mm x 1g. @Blanco,1001-01,236.0
MM,Tonalizador Correctivo Repuesto de 26mm x 1g. @Verde,1001-02,236.0
MM,Tonalizador Correctivo Repuesto de 26mm x 1g. @Marrón Africano,1001-09,236.0
MM,Tonalizador Correctivo Repuesto de 26mm x 1g. @Beige Verdoso,1001-13,236.0
MM,Fluidificador de texturas Pre Base de Maquillaje Botella con Dosificador x 20g.,1014,1150.0
MM,Pre Base Matificante Ultra HD Botella con Dosificador x 19g. @Claro,1015-01,843.0
MM,Pre Base Matificante Ultra HD Botella con Dosificador x 19g. @Oscuro,1015-02,843.0
MM,Sombra Compacta Highlight Soft Petaca x 4g. @Arena,1100-01,400.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Marfil Satinado,1110-116,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Rosa Mate,1110-118,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Rosado Tornasol,1110-134,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Manteca Semi-Mate,1110-135,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Marrón Grisado,1110-139,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Rosa Salmón Semimate,1110-144,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Champagne Satinado,1110-CHS,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Turquesa Satinado Intenso,1110-TUS,357.0
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Negro Réflex,1110-R05,357.0
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mm x 4g. @Dorada Intenso,1110-101,357.0
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mm x 4g. @Chocolate Mate,1110-102,357.0
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mm x 4g. @Borravino Satinado,1110-103,357.0
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mm x 4g. @Rosa Bebe Satinado,1110-108,357.0
