categ_id,name,default_code,lst_price
MM,PROMOCIONAL SET MAQUILLAJE COMPACTO DUO CORRECTIVO Art. 2019Z- Cartuchera sin divisiones Art. 2010R-01  Maquillaje Compacto Polvo Mate -Efecto BLUR  -Amarillo Art. 1301R-02  Polvo Compacto Microfinish  ULTRA HD -Anaranjado,5010,995
MM,PROMOCIONAL Set Labios LIP ART PRO Art. 1501P- Labial Humectante - Paleta de labiales -32 unid. Art. 1550P-00- Pigmentador Humectante -para labios Art. 1504P- Set Desmaquillante y Humectante para labios,5501,2.000
MM,Pre Base Matificante Ultra HD Botella con Dosificador x 19g. @Claro,1015-01,700
MM,Pre Base Matificante Ultra HD Botella con Dosificador x 19g. @Oscuro,1015-02,700
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. hsta agotar stock. @Nacarado Tornasol Dorado,1112-02,150
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. hsta agotar stock. @Cobre Anaranjado Suave,1112-03,150
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. hsta agotar stock. @Beige Oscuro @,1112-04,150
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. hsta agotar stock. @Cobre Satinado @,1112-05,150
MM,Sombra en Polvo Perla Pote x 1g. hsta agotar stock @Perla Plata Metálico,1152P-12,215
MM,Polvo Compacto Microfinish Ultra HD Repuesto de 59mm x 10g. hsta agotar stock.@ Naranja,1301R-02,395
MM,"Labial Humectante Envase x 3,5g. hsta agotar stock. @Rosa Anaranjado",1500-506,235
MM,"Labial Humectante Envase x 3,5g. hsta agotar stock. @Magenta Violáceo",1500-508,235
MM,"Labial Humectante Envase x 3,5g. hsta agotar stock. @Beige Dulce de Leche",1500-511,235
MM,"Labial Mate Envase x 3,5g. @Marsala",1500M-03,255
MM,"Labial Mate Envase x 3,5g. @Fucsia",1500M-06,255
MM,"Labial Mate Envase x 3,5g. @Naranja",1500M-07,255
MM,"Labial Mate Envase x 3,5g. @Rosa Suave",1500M-10,255
MM,"Labial Mate Envase x 3,5g. @Rosa Dior",1500M-11,255
MM,"Labial Mate Envase x 3,5g. @Coral Vibrante",1500M-12,255
MM,Set Desmaquillante y Humectante para labios 2  Potes x  4g .c/uno. hsta agotar stock. @,1504,575
MM,"Labial Vitamina Envase x 3,5g. @Rosado",1520-01,175
MM,"Labial Vitamina Envase x 3,5g. @Anaranjado",1520-02,175
MM,"Labial Vitamina Envase x 3,5g. @Coral",1520-03,175
MM,Labial Líquido Mate Botella con Aplicador x 6g. hsta agotar stock. @Dulce de leche -NUEVO,1524-05,355
MM,Labial Líquido Mate Botella con Aplicador x 6g. hsta agotar stock. @Chocolate -NUEVO,1524-06,355
MM,Máscara para Pestañas  a Prueba de Agua Botella con aplicador x 12g. @Máscara para Pestañas  Negro,1610-01,200
MM,MILA BB - Base Nude Pomo x 25g. hsta agotar stock. @Nude Natural,1862-02,400
MM,Sombra en Polvo Diamante - Cristales de Luz-Pote x 1g. hsta agotar stock. @Verde Calipso,2152E,215
MM,Sombra en Polvo Diamante - Cristales de Luz-Pote x 1g. hsta agotar stock. @Negro,2152-E01,215
MM,Sombra en Polvo Diamante - Cristales de Luz-Pote x 1g. hsta agotar stock. @Tomate,2152-E02,215
