categ_id,name,default_code,lst_price
MM,Sombra Compacta Apta HD. HIPERPIGMENTADAS PUROS Repuesto de 33mmx 4g. @Verde mate,1110-P09,275
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Dorado Extra claro Satinado,1110-S00,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Rojo Granate Metalizado,1110-S01,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Violeta amatista Metalizado,1110-S03,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Azul Zafiro Metalizado,1110-S04,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Verde esmeralda Metalizado,1110-S05,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Rosa Tornasol Metalizado,1110-S06,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Lila Tornasol Metalizado,1110-S08,315
MM,Sombra Compacta Apta HD. SILICONADAS - Metalizadas Repuesto de 37 mm. x 4gr. @Blanco Tornasol Dorado,1110-S11,315
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Marfil,1112-01,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Nacarado Tornasol Dorado ,1112-02,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Cobre Anaranjado Suave,1112-03,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Beige Oscuro,1112-04,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Cobre Satinado,1112-05,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Gris Plata,1112-06,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Petróleo Tornasol,1112-07,200
MM,Sombra Compacta (Mini) Repuesto de 20 mm x 1 g. @Negro,1112-08,200
MM,"Sombra Compacta Repuesto rectangular x 3,5g. @Celeste mate  NUEVO!!",1113-121,145
MM,"Sombra Compacta Repuesto rectangular x 3,5g. @Negro mate  NUEVO!!",1113-P01,145
MM,Mila BB- Base Nude Pre Base neutra Pomo x 25g. @Neutra,1114,430
MM,Sombra en Polvo Pigmento Puro Polvera x 2g. @Verde Manzana,1143P-08,200
MM,Sombra en Polvo Pigmento Puro Polvera x 2g. @Anaranjado Cromático NUEVO!!,1143P-09,200
MM,Sombra en Polvo Pigmento Puro Polvera x 2g. @Rojo,1143P-10,200
MM,Sombra en Polvo Pigmento Puro Polvera x 2g. @Azul,1143P-12,200
MM,Sombra en Polvo Pigmento Puro Polvera x 2g. @Anaranjado  Fluo,1143P-13,200
MM,Sombra en Polvo Pigmento Puro Polvera x 2g. @Verde Esmeralda,1143P-14,200
MM,Sombra en Polvo Perla Pote x 1g. @Dorado,1152P-01,280
MM,Sombra en Polvo Perla Pote x 1g. @Cobre,1152P-02,280
MM,Sombra en Polvo Perla Pote x 1g. @Rosa Dorado,1152P-04,280
MM,Sombra en Polvo Perla Pote x 1g. @Plata Metálico,1152P-12,280
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Rosa Satinado,1210-201,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Salmón Satinado,1210-202,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Marrón Claro Satinado,1210-203,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Rosa bebe semi-mate,1210-204,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Salmón tornasolado,1210-205,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Terracota Mate,1210-206,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Tostado Mate,1210-207,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Rosa Intenso Satinado,1210-208,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Rosa Claro Mate,1210-209,315
MM,Rubor Compacto Repuesto de 37mm.x 4g. @Anaranjado claro semi - mate,1210-210,315
